case_id,description,witness_index,suspect_statement,witness_statement,similarity,confidence,suspect_sentiment,suspect_emotion,witness_sentiment,witness_emotion,suspect_sentiment_score,witness_sentiment_score,suspect_emotion_score,witness_emotion_score
006,Domestic argument involving noise complaints from neighbors.,1,"My partner and I were having a heated discussion about bills. We didn’t hit or threaten each other, just raised our voices. I didn’t realize how loud it was until the police showed up. It was purely verbal and over within minutes.","I live next door. I heard shouting and loud banging sounds, like someone throwing things. It went on for at least ten minutes before the police arrived.",0.8853084444999695,0.14285714285714285,NEGATIVE,fear,NEGATIVE,fear,0.778847873210907,0.9985427856445312,0.9142360687255859,0.7014892101287842
006,Domestic argument involving noise complaints from neighbors.,2,"My partner and I were having a heated discussion about bills. We didn’t hit or threaten each other, just raised our voices. I didn’t realize how loud it was until the police showed up. It was purely verbal and over within minutes.","I heard them arguing, but it just sounded like yelling — no breaking or hitting sounds from what I could tell.",0.8825116753578186,0.125,NEGATIVE,fear,NEGATIVE,neutral,0.778847873210907,0.9993533492088318,0.9142360687255859,0.7418530583381653
007,Theft of a phone in a café during lunch hours.,1,"I was drinking coffee and reading emails. I noticed a phone left on the next table but didn’t touch it. When I got up to leave, the phone was still there. I think someone else must have taken it after I left.","I was two tables away. The suspect picked up the phone, looked around quickly, and then slipped it into his jacket pocket before leaving.",0.866366982460022,0.13793103448275862,NEGATIVE,neutral,NEGATIVE,neutral,0.9980708956718445,0.992241621017456,0.5291570425033569,0.3765706717967987
007,Theft of a phone in a café during lunch hours.,2,"I was drinking coffee and reading emails. I noticed a phone left on the next table but didn’t touch it. When I got up to leave, the phone was still there. I think someone else must have taken it after I left.","I saw the suspect looking at the phone but didn’t notice him taking it. The seat was empty when I looked again, though.",0.8756096363067627,0.0967741935483871,NEGATIVE,neutral,NEGATIVE,surprise,0.9980708956718445,0.999115526676178,0.5291570425033569,0.3864624798297882
008,Physical altercation outside a nightclub.,1,"I was outside for a smoke when I saw two men fighting. I tried to separate them but one swung at me, so I instinctively pushed back. It all happened so fast. I wasn’t trying to fight anyone.",I was near the entrance. The suspect threw the first punch and looked furious. The security had to pull him away.,0.8400605916976929,0.06451612903225806,NEGATIVE,fear,NEGATIVE,anger,0.9445260763168335,0.9985882639884949,0.8662533164024353,0.9688977003097534
008,Physical altercation outside a nightclub.,2,"I was outside for a smoke when I saw two men fighting. I tried to separate them but one swung at me, so I instinctively pushed back. It all happened so fast. I wasn’t trying to fight anyone.",The suspect initially tried to stop the fight but ended up hitting one of the men when things got intense.,0.8214771747589111,0.06896551724137931,NEGATIVE,fear,NEGATIVE,anger,0.9445260763168335,0.9953752756118774,0.8662533164024353,0.7838762402534485
009,Cyber fraud involving unauthorized use of company data.,1,I had access to the data as part of my job. I didn’t sell or share anything. The files on my USB were for a presentation I was preparing. I never violated company policy intentionally.,I saw the suspect copying sensitive files late at night without informing the manager. He looked nervous when I asked about it.,0.8247997760772705,0.07407407407407407,POSITIVE,anger,NEGATIVE,fear,0.8737462759017944,0.9983155727386475,0.4196626543998718,0.8870681524276733
009,Cyber fraud involving unauthorized use of company data.,2,I had access to the data as part of my job. I didn’t sell or share anything. The files on my USB were for a presentation I was preparing. I never violated company policy intentionally.,"He was definitely working late that week, but I can’t confirm what he was copying. He mentioned preparing a report for the board.",0.8099260926246643,0.11538461538461539,POSITIVE,anger,NEGATIVE,neutral,0.8737462759017944,0.9982269406318665,0.4196626543998718,0.897016704082489
010,Plagiarism accusation during university final project.,1,I wrote my paper completely on my own. I may have used online references but I cited every source properly. The similarities in our work must be coincidental since we researched the same topic. I would never cheat on my thesis.,I was part of the same class. The suspect’s paper was almost identical to one that was uploaded on an academic site a year ago. Even the structure and introduction matched.,0.8637206554412842,0.1,POSITIVE,neutral,NEGATIVE,neutral,0.9971659779548645,0.9975003600120544,0.8932790160179138,0.9237146973609924
010,Plagiarism accusation during university final project.,2,I wrote my paper completely on my own. I may have used online references but I cited every source properly. The similarities in our work must be coincidental since we researched the same topic. I would never cheat on my thesis.,"We both worked on similar research questions, so overlap makes sense. I don’t think he copied intentionally.",0.8560696840286255,0.06451612903225806,POSITIVE,neutral,NEGATIVE,neutral,0.9971659779548645,0.8174256086349487,0.8932790160179138,0.9351904392242432
011,Road rage incident on the highway.,1,The other driver was tailgating me for several miles. I tapped my brakes to warn him but he sped up and cut in front. I honked and yelled out the window but never got out of my car. I was just frustrated by his reckless driving.,I was in the next lane. The suspect was shouting and waving his hands angrily. He nearly hit the other car when swerving.,0.9041603803634644,0.09090909090909091,NEGATIVE,anger,NEGATIVE,anger,0.9991812109947205,0.9979565143585205,0.869588315486908,0.7986948490142822
011,Road rage incident on the highway.,2,The other driver was tailgating me for several miles. I tapped my brakes to warn him but he sped up and cut in front. I honked and yelled out the window but never got out of my car. I was just frustrated by his reckless driving.,"It looked like both drivers were angry. The suspect didn’t leave his car, but he was definitely yelling aggressively.",0.8687410950660706,0.06060606060606061,NEGATIVE,anger,NEGATIVE,anger,0.9991812109947205,0.99562007188797,0.869588315486908,0.6229016780853271
012,Patient–doctor disagreement in a hospital emergency room.,1,"The patient was upset because he had to wait for his test results. I tried to explain the procedure calmly, but he kept interrupting. I never shouted or disrespected him. I’ve been a doctor for ten years and handle stressful situations professionally.",I was at the reception desk. The doctor was visibly irritated and raised his voice several times. The patient left the room crying.,0.8846800923347473,0.1,POSITIVE,anger,NEGATIVE,anger,0.9814803004264832,0.9985384941101074,0.4805486500263214,0.6244007349014282
012,Patient–doctor disagreement in a hospital emergency room.,2,"The patient was upset because he had to wait for his test results. I tried to explain the procedure calmly, but he kept interrupting. I never shouted or disrespected him. I’ve been a doctor for ten years and handle stressful situations professionally.","The situation was tense, but the doctor didn’t yell. He sounded firm, not aggressive, and was trying to calm the patient.",0.8980090618133545,0.030303030303030304,POSITIVE,anger,POSITIVE,neutral,0.9814803004264832,0.9338784217834473,0.4805486500263214,0.37438005208969116
013,Vandalism of a parked vehicle in a residential area.,1,I was walking my dog when I noticed the car alarm going off. I didn’t touch the car at all. Someone must have mistaken me for the vandal because I was nearby. I stayed there to see what was happening until the owner came out.,I saw the suspect kick the car door and then quickly walk away. He looked angry and was muttering something.,0.8474909067153931,0.05714285714285714,NEGATIVE,fear,NEGATIVE,anger,0.9986059069633484,0.9993283748626709,0.8123131990432739,0.9199159741401672
013,Vandalism of a parked vehicle in a residential area.,2,I was walking my dog when I noticed the car alarm going off. I didn’t touch the car at all. Someone must have mistaken me for the vandal because I was nearby. I stayed there to see what was happening until the owner came out.,"There was a person near the car when the alarm started, but I couldn’t tell if he actually hit it or not.",0.8704856634140015,0.06666666666666667,NEGATIVE,fear,NEGATIVE,neutral,0.9986059069633484,0.9988324046134949,0.8123131990432739,0.49684277176856995
014,Restaurant argument between a customer and waiter.,1,"The food I ordered was cold, so I politely asked for it to be reheated. The waiter rolled his eyes and muttered something under his breath, which upset me. I raised my voice slightly but didn’t insult anyone. I left after paying my bill.",I was at the next table. The suspect was shouting and calling the waiter names. Everyone turned to look because of the noise.,0.8506686687469482,0.06060606060606061,NEGATIVE,anger,NEGATIVE,disgust,0.986519455909729,0.9657096862792969,0.7088872194290161,0.6099517345428467
014,Restaurant argument between a customer and waiter.,2,"The food I ordered was cold, so I politely asked for it to be reheated. The waiter rolled his eyes and muttered something under his breath, which upset me. I raised my voice slightly but didn’t insult anyone. I left after paying my bill.",The customer did raise his voice but didn’t use any curse words. It seemed more like frustration than aggression.,0.8399887681007385,0.030303030303030304,NEGATIVE,anger,NEGATIVE,anger,0.986519455909729,0.9480323195457458,0.7088872194290161,0.616132915019989
015,Cheating accusation during a high school exam.,1,"I was focusing on my own paper. The teacher thought I was looking at my friend’s answers, but I was just checking the clock. I’ve never cheated in any exam before. I feel unfairly accused.",I was sitting right behind the suspect. He kept glancing at the desk next to him several times during the test.,0.8433024883270264,0.08695652173913043,NEGATIVE,anger,NEGATIVE,disgust,0.9795030355453491,0.987622082233429,0.7285355925559998,0.5276519060134888
015,Cheating accusation during a high school exam.,2,"I was focusing on my own paper. The teacher thought I was looking at my friend’s answers, but I was just checking the clock. I’ve never cheated in any exam before. I feel unfairly accused.",I didn’t see him looking at anyone’s paper. The teacher might have misunderstood his movements.,0.8712961673736572,0.2,NEGATIVE,anger,NEGATIVE,neutral,0.9795030355453491,0.9990240335464478,0.7285355925559998,0.6044188141822815
016,Data leak investigation at a tech company.,1,I had no involvement in sharing internal information. I worked late because I was fixing a software bug. The leaked files mentioned in the report weren’t even accessible from my account. I’ve been loyal to this company for years.,The suspect was discussing confidential data during lunch and showing screenshots on his laptop. I overheard parts of it.,0.8515737056732178,0.07692307692307693,NEGATIVE,neutral,NEGATIVE,disgust,0.9992332458496094,0.9777242541313171,0.8240206837654114,0.9601716995239258
016,Data leak investigation at a tech company.,2,I had no involvement in sharing internal information. I worked late because I was fixing a software bug. The leaked files mentioned in the report weren’t even accessible from my account. I’ve been loyal to this company for years.,He’s been a trusted employee. I can’t imagine him leaking anything — he’s often the one reminding others about security rules.,0.8575623035430908,0.06896551724137931,NEGATIVE,neutral,NEGATIVE,neutral,0.9992332458496094,0.9283696413040161,0.8240206837654114,0.8399354815483093
017,Harassment complaint at a university dorm.,1,"I sent her a few messages asking if she wanted to hang out, nothing more. I never pressured or stalked her. When she said she wasn’t interested, I stopped contacting her. I didn’t mean to make anyone uncomfortable.",The suspect kept waiting outside her room for several days and sent multiple texts even after being told to stop.,0.784953236579895,0.058823529411764705,POSITIVE,disgust,NEGATIVE,disgust,0.945529043674469,0.5174355506896973,0.44333937764167786,0.4866522550582886
017,Harassment complaint at a university dorm.,2,"I sent her a few messages asking if she wanted to hang out, nothing more. I never pressured or stalked her. When she said she wasn’t interested, I stopped contacting her. I didn’t mean to make anyone uncomfortable.",I know both of them. He seemed interested but not threatening. Maybe she just felt uneasy about the persistence.,0.8459806442260742,0.11764705882352941,POSITIVE,disgust,NEGATIVE,fear,0.945529043674469,0.9951127171516418,0.44333937764167786,0.8788335919380188
018,False accusation of shoplifting in a supermarket.,1,"I paid for everything in my cart. The cashier scanned all items, and I even have the receipt. I didn’t hide anything in my bag. I think they confused me with another customer wearing similar clothes.",I was behind her in line. I saw the suspect take an item and put it in her bag before reaching the counter.,0.8536505699157715,0.07692307692307693,NEGATIVE,neutral,NEGATIVE,disgust,0.9975724816322327,0.9957504272460938,0.902268648147583,0.5600211024284363
018,False accusation of shoplifting in a supermarket.,2,"I paid for everything in my cart. The cashier scanned all items, and I even have the receipt. I didn’t hide anything in my bag. I think they confused me with another customer wearing similar clothes.",The suspect looked surprised when security stopped her. She kept showing her receipt and seemed genuinely confused.,0.8390072584152222,0.03225806451612903,NEGATIVE,neutral,NEGATIVE,surprise,0.9975724816322327,0.9894800186157227,0.902268648147583,0.9736489653587341
019,Online identity impersonation through fake social media account.,1,Someone used my old pictures to create that account. I didn’t post or message anyone pretending to be her. I’ve already reported it to the platform. I have nothing to gain from impersonating anyone.,The account was clearly using the suspect’s tone and old photos. Some messages even matched how he writes online.,0.834470272064209,0.06896551724137931,NEGATIVE,neutral,NEGATIVE,neutral,0.9992903470993042,0.998323380947113,0.8403569459915161,0.9499506950378418
019,Online identity impersonation through fake social media account.,2,Someone used my old pictures to create that account. I didn’t post or message anyone pretending to be her. I’ve already reported it to the platform. I have nothing to gain from impersonating anyone.,It’s possible someone hacked or cloned his account. I’ve seen fake profiles like this happen before.,0.830725371837616,0.06451612903225806,NEGATIVE,neutral,NEGATIVE,neutral,0.9992903470993042,0.9992274045944214,0.8403569459915161,0.8182997107505798
020,Public disturbance at a music concert.,1,"I was cheering loudly because the band played my favorite song. Security thought I was trying to jump the barrier, but I wasn’t. I never touched anyone or tried to get on stage. I was just enjoying the show.",I was right beside him. He tried climbing the barrier and pushed people to get closer to the stage. Security had to intervene.,0.8952856063842773,0.20689655172413793,POSITIVE,joy,NEGATIVE,anger,0.9993851184844971,0.9382868409156799,0.9855591058731079,0.49849995970726013
020,Public disturbance at a music concert.,2,"I was cheering loudly because the band played my favorite song. Security thought I was trying to jump the barrier, but I wasn’t. I never touched anyone or tried to get on stage. I was just enjoying the show.",The suspect was energetic but harmless. He was shouting the lyrics and waving his hands — typical concert behavior.,0.864229142665863,0.03333333333333333,POSITIVE,joy,NEGATIVE,disgust,0.9993851184844971,0.9773673415184021,0.9855591058731079,0.6082906723022461
